samples,pct_of_total,leaf_frame
5,0.01,"net.minecraft.world.level.levelgen.Aquifer$NoiseBasedAquifer.computeSubstance(DensityFunction$FunctionContext, double) line: 248"
5,0.01,"net.minecraft.world.level.chunk.SingleValuePalette.idFor(Object, PaletteResize) line: 32"
5,0.01,"net.minecraft.util.Mth.normal(RandomSource, float, float) line: 787"
5,0.01,"net.minecraft.util.Mth.binarySearch(int, int, IntPredicate) line: 615"
5,0.01,"net.minecraft.server.level.WorldGenRegion.setBlock(BlockPos, BlockState, int, int) line: 260"
5,0.01,"net.minecraft.server.level.ThreadedLevelLightEngine.tryScheduleUpdate() line: 162"
5,0.01,"net.minecraft.server.level.ChunkHolder.addSaveDependency(CompletableFuture) line: 125"
5,0.01,"net.minecraft.core.TypedInstance.is(Object) line: 28"
5,0.01,"java.util.stream.ReferencePipeline$7$1FlatMap.accept(Object) line: 288"
5,0.01,"java.util.stream.ReferencePipeline$2$1.accept(Object) line: 196"
5,0.01,"java.util.stream.Collectors.lambda$groupingBy$0(Function, Supplier, BiConsumer, Map, Object) line: 1112"
5,0.01,"java.util.stream.AbstractPipeline.copyInto(Sink, Spliterator) line: 569"
5,0.01,"java.util.HashMap.removeNode(int, Object, Object, boolean, boolean) line: 847"
5,0.01,"java.util.Collections.unmodifiableMap(Map) line: 1637"
5,0.01,"it.unimi.dsi.fastutil.longs.LongOpenHashSet$SetIterator.nextLong() line: 555"
4,0.01,"sun.security.provider.DigestBase.engineDigest(byte[], int, int) line: 205"
4,0.01,"net.minecraft.world.phys.shapes.VoxelShape.get(Direction$Axis, int) line: 64"
4,0.01,"net.minecraft.world.level.lighting.LightEngine.propagateIncreases() line: 195"
4,0.01,"net.minecraft.world.level.lighting.DynamicGraphMinFixedPoint.checkEdge(long, long, int, int, int, boolean) line: 110"
